id:109395077, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109395093, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109549216, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:109549232, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:109553215, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:109553258, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109715211, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:109772258, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109831211, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:109831238, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109831254, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:109831271, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:109831297, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:109842210, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109842236, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109852493, acertos:33, precisao:0.970588, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:109852514, acertos:36, precisao:0.947368, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109867821, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109867863, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109867880, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109867901, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109874705, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109874781, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109874801, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109874828, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109881999, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:109893797, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109893818, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:109908477, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:109920222, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:109939548, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110010234, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
